"Carimbo de data/hora";"ID da resposta";"Endereço de e-mail";"Qual é a sua idade (em anos)?";"Quantos dispositivos eletrônicos você possui (celular, notebook, tablet, smartwatch etc.)?";"Quantas horas por dia você usa a internet?";"Quantas horas por dia você passa em redes sociais?";"Quantos aplicativos de redes sociais você tem instalados no celular?";"Há quantos anos você possui um smartphone?";"Quanto você gasta, em média por mês, com assinaturas ou serviços de tecnologia, em R$?";"Com que idade você começou a usar a internet?";"Quantas horas de sono você perde, em média por semana, por causa do uso de tecnologia à noite?";"Quantas vezes você trocou sua senha de e-mail ou redes sociais no último ano?";"Qual é o seu gênero?";"Qual é a sua escolaridade?";"Você utiliza alguma ferramenta de Inteligência Artificial?";"Qual ferramenta de IA você mais utiliza?";"Com que frequência você utiliza ferramentas de IA?";"Para qual finalidade você mais utiliza IA?";"Você confia nas informações geradas por ferramentas de IA?";"Você acredita que a IA vai substituir empregos humanos no futuro?";"Você sente que depende da tecnologia ou do celular para realizar tarefas do dia a dia?";"Você já usou a tecnologia para enganar ou prejudicar alguém?";"Você já foi vítima de algum golpe ou fraude digital?";"Você utiliza autenticação de dois fatores nas suas contas online?";"Você já compartilhou informações sem verificar se eram verdadeiras?";"Qual sistema operacional de celular você utiliza?";"Você acredita que a tecnologia trouxe mais benefícios do que malefícios para a sociedade?"
"02/09/2026 06:03:00";"R0190";"respondente0190@example.invalid";"51";"2";"12,8";"11,2";"8";"6";"258,93";"14";"6,7";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Sim";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 06:10:00";"R0191";"respondente0191@example.invalid";"58";"7";"16,5";"1,4";"1";"11";"260,3";"28";"8,4";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 06:17:00";"R0192";"respondente0192@example.invalid";"22";"4";"20,2";"3,7";"4";"8";"261,67";"15";"10,1";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 06:24:00";"R0193";"respondente0193@example.invalid";"29";"1";"2,4";"6";"7";"11";"263,04";"5";"11,8";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 06:31:00";"R0194";"respondente0194@example.invalid";"36";"6";"6,1";"8,3";"10";"6";"264,41";"20";"1,4";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 06:38:00";"R0195";"respondente0195@example.invalid";"43";"3";"9,8";"10,6";"3";"11";;"11";"3,1";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 06:45:00";"R0196";"respondente0196@example.invalid";"50";"8";"13,5";"0,8";"6";"16";"267,15";"35";"4,8";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 06:52:00";"R0197";"respondente0197@example.invalid";"57";"5";"17,2";"3,1";"9";"1";"268,52";"29";"6,5";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Sim";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 06:59:00";"R0198";"respondente0198@example.invalid";"21";"2";"20,9";"5,4";"2";"7";"269,89";"12";"8,2";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 07:06:00";"R0199";"respondente0199@example.invalid";"28";"7";"3,1";"7,7";"5";"1";"271,26";"21";"9,9";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 07:13:00";"R0200";"respondente0200@example.invalid";"35";"4";"6,8";"10";"8";"16";"272,63";"34";"11,6";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"02/09/2026 07:20:00";"R0201";"respondente0201@example.invalid";"42";"1";"10,5";"0,2";"1";"1";"274";"22";"1,2";"0";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 07:27:00";"R0202";"respondente0202@example.invalid";"49";"6";"14,2";"2,5";"4";"6";"275,37";"16";"2,9";"3";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 07:34:00";"R0203";"respondente0203@example.invalid";"56";"3";"17,9";"4,8";"7";"11";"276,74";"34";"4,6";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 07:41:00";"R0204";"respondente0204@example.invalid";"20";"8";"21,6";"7,1";"10";"6";"278,11";"18";"6,3";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Sim";"Não";"Não";"Android";"Discordo"
"02/09/2026 07:48:00";"R0205";"respondente0205@example.invalid";"27";"5";"3,8";"9,4";"3";"1";"279,48";"5";"8";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 07:55:00";"R0206";"respondente0206@example.invalid";"34";"2";"7,5";"11,7";"6";"6";"280,85";"27";"9,7";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 08:02:00";"R0207";"respondente0207@example.invalid";"41";"7";"11,2";"1,9";"9";"11";"282,22";"39";"11,4";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 08:09:00";"R0208";"respondente0208@example.invalid";"48";"4";"14,9";"4,2";"2";"16";"283,59";"46";"1";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 08:16:00";"R0209";"respondente0209@example.invalid";"55";"1";"18,6";"6,5";"5";"1";"284,96";"43";"2,7";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 08:23:00";"R0210";"respondente0210@example.invalid";"19";"6";"22,3";"8,8";"8";"2";"286,33";"8";"4,4";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 08:30:00";"R0211";"respondente0211@example.invalid";"26";"3";"4,5";"11,1";"1";"11";"287,7";"5";"6,1";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Sim";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 08:37:00";"R0212";"respondente0212@example.invalid";"33";"8";"8,2";"1,3";"4";"16";"289,07";"30";"7,8";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"02/09/2026 08:44:00";"R0213";"respondente0213@example.invalid";"40";"5";"11,9";"3,6";"7";"1";"290,44";"27";"9,5";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 08:51:00";"R0214";"respondente0214@example.invalid";"47";"2";"15,6";"5,9";"10";"6";"291,81";"38";"11,2";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 08:58:00";"R0215";"respondente0215@example.invalid";"54";"7";"19,3";"8,2";"3";"11";"293,18";"7";"0,8";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 09:05:00";"R0216";"respondente0216@example.invalid";"18";"4";"1,5";"10,5";"6";"4";"294,55";"17";"2,5";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 09:12:00";"R0217";"respondente0217@example.invalid";"25";"1";"5,2";"0,7";"9";"1";"295,92";"21";"4,2";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 09:19:00";"R0218";"respondente0218@example.invalid";"32";"6";"8,9";"3";"2";"6";"297,29";"16";"5,9";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Sim";"Não";"Sim";"Android";"Concordo"
"02/09/2026 09:26:00";"R0219";"respondente0219@example.invalid";"39";"3";"12,6";"5,3";"5";"11";"298,66";"23";"7,6";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 09:33:00";"R0220";"respondente0220@example.invalid";"46";"8";"16,3";"7,6";"8";"16";"0,03";"36";"9,3";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 09:40:00";"R0221";"respondente0221@example.invalid";"53";"5";"20";"9,9";"1";"1";"1,4";"25";"11";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 09:47:00";"R0222";"respondente0222@example.invalid";"60";"2";"2,2";"0,1";"4";"6";"2,77";"16";"0,6";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 09:54:00";"R0223";"respondente0223@example.invalid";"24";"7";"5,9";"2,4";"7";"5";"4,14";"15";"2,3";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 10:01:00";"R0224";"respondente0224@example.invalid";"31";"4";"9,6";"4,7";"10";"16";"5,51";"14";"4";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"02/09/2026 10:08:00";"R0225";"respondente0225@example.invalid";"38";"1";"13,3";"7";"3";"1";"6,88";"27";"5,7";"0";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Sim";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 10:15:00";"R0226";"respondente0226@example.invalid";"45";"6";"17";"9,3";"6";"6";"8,25";"40";"7,4";"3";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 10:22:00";"R0227";"respondente0227@example.invalid";"52";"3";"20,7";"11,6";"9";"11";"9,62";"47";"9,1";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";;"Sim";"Não";"iOS";"Concordo"
"02/09/2026 10:29:00";"R0228";"respondente0228@example.invalid";"59";"8";"2,9";"1,8";"2";"16";"10,99";"18";"10,8";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 10:36:00";"R0229";"respondente0229@example.invalid";"23";"5";"6,6";"4,1";"5";"10";"12,36";"11";"0,4";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 10:43:00";"R0230";"respondente0230@example.invalid";"30";"2";"10,3";"6,4";"8";"6";"13,73";"24";"2,1";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 10:50:00";"R0231";"respondente0231@example.invalid";"37";"7";"14";"8,7";"1";"11";"15,1";"7";"3,8";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 10:57:00";"R0232";"respondente0232@example.invalid";"44";"4";"17,7";"11";"4";"16";"16,47";"11";"5,5";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Sim";"Sim";"Não";"Android";"Neutro"
"02/09/2026 11:04:00";"R0233";"respondente0233@example.invalid";"51";"1";"21,4";"1,2";"7";"1";"17,84";"27";"7,2";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 11:11:00";"R0234";"respondente0234@example.invalid";"58";"6";"3,6";"3,5";"10";"6";"19,21";"24";"8,9";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 11:18:00";"R0235";"respondente0235@example.invalid";"22";"3";"7,3";"5,8";"3";"7";"20,58";"12";"10,6";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 11:25:00";"R0236";"respondente0236@example.invalid";"29";"8";"11";"8,1";"6";"17";"21,95";"22";"0,2";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"02/09/2026 11:32:00";"R0237";"respondente0237@example.invalid";"36";"5";"14,7";"10,4";"9";"1";"23,32";"28";"1,9";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 11:39:00";"R0238";"respondente0238@example.invalid";"43";"2";"18,4";"0,6";"2";"6";"24,69";"28";"3,6";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 11:46:00";"R0239";"respondente0239@example.invalid";"50";"7";"22,1";"2,9";"5";"11";"26,06";"13";"5,3";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Sim";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 11:53:00";"R0240";"respondente0240@example.invalid";"57";"4";"4,3";"5,2";"8";"16";"27,43";"34";"7";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 12:00:00";"R0241";"respondente0241@example.invalid";"21";"1";"8";"7,5";"1";"2";"28,8";"5";"8,7";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 12:07:00";"R0242";"respondente0242@example.invalid";"28";"6";"11,7";"9,8";"4";"18";"30,17";"11";"10,4";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 12:14:00";"R0243";"respondente0243@example.invalid";"35";"3";"15,4";"0";"7";"11";"31,54";"27";"0";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 12:21:00";"R0244";"respondente0244@example.invalid";"42";"8";"19,1";"2,3";"10";"16";"32,91";"14";"1,7";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 12:28:00";"R0245";"respondente0245@example.invalid";"49";"5";"22,8";"4,6";"3";"1";"34,28";"5";"3,4";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 12:35:00";"R0246";"respondente0246@example.invalid";"56";"2";"5";"6,9";"6";"6";"35,65";"48";"5,1";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Sim";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 12:42:00";"R0247";"respondente0247@example.invalid";"20";"7";"8,7";"9,2";"9";"1";"37,02";"11";"6,8";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 12:49:00";"R0248";"respondente0248@example.invalid";"27";"4";"12,4";"11,5";"2";"12";"38,39";"16";"8,5";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
"02/09/2026 12:56:00";"R0249";"respondente0249@example.invalid";"34";"1";"16,1";"1,7";"5";"1";"39,76";"7";"10,2";"0";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 13:03:00";"R0250";"respondente0250@example.invalid";"41";"6";"19,8";"4";"8";"6";"41,13";"8";"11,9";"3";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 13:10:00";"R0251";"respondente0251@example.invalid";"48";"3";"2";"6,3";"1";"11";"42,5";"46";"1,5";"6";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 13:17:00";"R0252";"respondente0252@example.invalid";"55";"8";"5,7";"8,6";"4";"16";"43,87";"16";"3,2";"1";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 13:24:00";"R0253";"respondente0253@example.invalid";"19";"5";"9,4";"10,9";"7";"1";"45,24";"5";"4,9";"4";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Sim";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 13:31:00";"R0254";"respondente0254@example.invalid";"26";"2";"13,1";"1,1";"10";"2";"46,61";"16";"6,6";"7";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 13:38:00";"R0255";"respondente0255@example.invalid";"33";"7";"16,8";"3,4";"3";"11";"47,98";"27";"8,3";"2";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Não";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 13:45:00";"R0256";"respondente0256@example.invalid";"40";"4";"20,5";"5,7";"6";"16";"49,35";"10";"10";"5";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 13:52:00";"R0257";"respondente0257@example.invalid";"47";"1";"2,7";"8";"9";"1";"50,72";"7";"11,7";"0";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 13:59:00";"R0258";"respondente0258@example.invalid";"54";"6";"6,4";"10,3";"2";"6";"52,09";"39";"1,3";"3";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 14:06:00";"R0259";"respondente0259@example.invalid";"18";"3";"10,1";"0,5";"5";"3";"53,46";"9";"3";"6";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 14:13:00";"R0260";"respondente0260@example.invalid";"25";"8";"13,8";"2,8";"8";"6";"54,83";"14";"4,7";"1";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Sim";"Não";"Sim";"Android";"Neutro"
"02/09/2026 14:20:00";"R0261";"respondente0261@example.invalid";"32";"5";"17,5";"5,1";"1";"1";"56,2";"30";"6,4";"4";"Feminino";"Superior incompleto";"Sim";"ChatGPT";"Às vezes";"Estudo";"Concordo";"Concordo totalmente";"Concordo totalmente";"Não";"Não";"Sim";"Sim";"iOS";"Concordo"
"02/09/2026 14:27:00";"R0262";"respondente0262@example.invalid";"39";"2";"21,2";"7,4";"4";"6";"57,57";"20";"8,1";"7";"Masculino";"Superior incompleto";"Sim";"Gemini";"Sempre";"Outro";"Concordo totalmente";"Neutro";"Concordo";"Sim";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 14:34:00";"R0263";"respondente0263@example.invalid";"46";"7";"3,4";"9,7";"7";"11";"58,94";"17";"9,8";"2";"Feminino";"Pós-graduação";"Sim";"Copilot";"Frequentemente";"Lazer";"Discordo";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"iOS";"Concordo"
"02/09/2026 14:41:00";"R0264";"respondente0264@example.invalid";"53";"4";"7,1";"12";"10";"16";"60,31";"18";"11,5";"5";"Outro/Prefiro não dizer";"Ensino Fundamental";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Discordo";"Discordo";"Não";"Não";"Não";"Não";"Android";"Discordo"
"02/09/2026 14:48:00";"R0265";"respondente0265@example.invalid";"60";"1";"10,8";"2,2";"3";"1";"61,68";"49";"1,1";"0";"Feminino";"Ensino Médio";"Sim";"ChatGPT";"Frequentemente";"Estudo";"Concordo";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 14:55:00";"R0266";"respondente0266@example.invalid";"24";"6";"14,5";"4,5";"6";"10";"63,05";"13";"2,8";"3";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Discordo";"Concordo";"Neutro";"Não";"Não";"Não";"Sim";"Android";"Concordo"
"02/09/2026 15:02:00";"R0267";"respondente0267@example.invalid";"31";"3";"18,2";"6,8";"9";"11";"64,42";"19";"4,5";"6";"Feminino";"Superior completo";"Sim";"Gemini";"Às vezes";"Trabalho";"Neutro";"Concordo totalmente";"Concordo";"Não";"Sim";"Sim";"Não";"iOS";"Concordo totalmente"
"02/09/2026 15:09:00";"R0268";"respondente0268@example.invalid";"38";"8";"21,9";"9,1";"2";"16";"65,79";"5";"6,2";"1";"Masculino";"Pós-graduação";"Sim";"Copilot";"Sempre";"Estudo";"Concordo";"Discordo";"Concordo totalmente";"Não";"Não";"Sim";"Não";"Android";"Neutro"
"02/09/2026 15:16:00";"R0269";"respondente0269@example.invalid";"45";"5";"4,1";"11,4";"5";"1";"67,16";"33";"7,9";"4";"Outro/Prefiro não dizer";"Ensino Médio";"Não";"Não uso";"Nunca";"Não uso";"Discordo totalmente";"Concordo";"Discordo";"Não";"Não";"Não";"Sim";"iOS";"Concordo"
"02/09/2026 15:23:00";"R0270";"respondente0270@example.invalid";"52";"2";"7,8";"1,6";"8";"6";"68,53";"50";"9,6";"7";"Masculino";"Superior completo";"Sim";"ChatGPT";"Raramente";"Lazer";"Concordo totalmente";"Neutro";"Concordo";"Não";"Não";"Sim";"Não";"Android";"Concordo totalmente"
"02/09/2026 15:30:00";"R0271";"respondente0271@example.invalid";"59";"7";"11,5";"3,9";"1";"11";"69,9";"5";"11,3";"2";"Feminino";"Pós-graduação";"Sim";"Perplexity";"Frequentemente";"Trabalho";"Neutro";"Concordo";"Neutro";"Não";"Não";"Sim";"Não";"Outro";"Concordo"
"02/09/2026 15:37:00";"R0272";"respondente0272@example.invalid";"23";"4";"15,2";"6,2";"4";"4";"71,27";"16";"0,9";"5";"Masculino";"Superior completo";"Não";"Não uso";"Nunca";"Não uso";"Neutro";"Discordo";"Concordo";"Não";"Não";"Não";"Sim";"Android";"Neutro"
